,Questions,Answers
438,does it have caffeine,"Yes, it has black tea, which contains caffeine.  The lemonade portion does not have caffeine, but since it's blended together there still is caffeine.  Not as much as a full cup of coffee, but there is still caffeine."
439,what is the sodium content in each can?,The nutrition label lists 0 mgs per can.
440,It says 3 boxes pack of 6. Does this mean 6 total boxes or 18 boxes?  Thank you.,6 boxes
441,Hi Marty!  Does this caul fat look like a honeycomb?,Maybe what you are thinking of is Tripe?  The Caul fat looks more like a spiderweb.  It has some very sheer spots combined with long strands of the fat connecting them.  Caul fat is used to wrap foods that need fat or otherwise might dry out.  In Italy we use it to wrap pork or pork livers.
442,How many calories per serving?,"As per the package, 30 calories per portion-one portion is half the package."
443,"This used to be the price for the 8 oz, but it says 6.32 ozs.  Did something change?","I just checked a bottle from my last shipment - 8FL. but the ""serving size"" is different - make sure thats not what you are looking at."
444,What's the recommended amount of water per packet?,Two cups (16 oz.) of water
445,HOW MANY OUNCES EACH BOTTLE???(Shouldn't have to ask),There is .75 ounces per bottle. So less then an ounce per bottle. They are small. They are good.
446,Which spices come with this rack? It's hard to tell from the image. Thanks!,"Mine had: ground nutmeg, ground ginger, Saigon cinnamon, ground cumin, paprika, garlic powder, ground mustard, chili powder, basil leaves, tarragon leaves, crushed red pepper, bay leaves, thyme leaves, Italian seasoning, dill weed, rosemary leaves, oregano leaves, rubbed sage, chopped chives, parsley flakes, cream of tartar, sesame seed, fennel seed, and poppy seed. I don't know if these come in all of them or if McCormick switches them out, but it was boxed up in a box from McCormick so we know it wasn't Amazon that chose the spices. Hope this helps."
447,"If you say its Ceylon Cinnamon, is this product from Sri Lanka?","Ceylon cinnamon is also grown in southern India, Bangladesh, and Southeast Asia. Frontier doesn't specify the origins of it's Ceylon cinnamon."
448,"Label changed (previous canister) ""baking cocoa... European Dutch processed"" to ""Dutch dark cocoa.""  Is it the same product?","Yes, the label did change, but I ordered this and it tastes exactly as the other one!"
449,Is it 6 packs each including 6 packets or its just 1 pack with 6 packets inside?,"It's a little box with 7 packets. By right if it's not sold by Starbucks, it's 7 packets. From Starbucks itself, 6 packets. I don't know why it is like that."
450,How many calories in each packet?,"15 cal. Non-diary, lactose- free and cholesterol- free!!"
451,Do these come packaged in 8x4oz bags (a customer review said it does) and if they do are the bags labeled?,The bag I received was the entire 16 oz in 1 bag--they were not divided in individual bags.
452,How many are packed in a case,I got 12 for this price
453,ingedient list please??,"Don't you wish they would list the ingredients on Amazon?  My jar says, ""organic roasted peanuts, contains 1% or less of salt"".  That's it, just peanuts and salt.  It's a product of Canada and is made by the Smuckers company."
454,What is the expiration date on this product (generally how much time does it have)?,"I purchased a 4-pack in May, 2014, that has a ""sell by"" date of 3/24/16."
455,Is this decaf?,No it is not decaf. I can see with the green labeling it might be confusing.
456,What is the Kinded Card included in this gift box for?  Does it have any dollar value or is it just a reminder to be kind to people?,It's just a reminder to be kind to people.
457,Are the almonds pasturized?,"Unfortunately, I've already finished that particul brand and don't know.  I purchased several different brands, all natual Almond Butter.  The one brand, Brad's Organic Roasted Almond Butters states it's organic but nothing about the almonds being pasturized.  You may have to contact some of the producers and ask them that question specifically. Sorry I couldn't help."
458,Can anyone tell me what ingredients are listed on the label?,"Potato (dry), salt, dextrose, freshness preserved with sodium bisulfite and BHT."
459,how many slices of bread can u get from one package?,"There are 7 slices measuring 3 1/2"" x 6 1/2"" and a little over 1/4"" in thickness."
460,"What is the expiration date on this yeast? Also, could you please clarify how many of the three-strip packages are included with each order? Thanks!",I just order these a month ago and it was June 2015 and it contains 9 packs of 3 strips
461,What letter grade would you give this water?,A+
462,do they come with candy inside?,"They came with a few packs of the candy,  but none preloaded in the dispenser"
463,Forgive my ignorance......but is this popcorn popped or  unpopped?,It's popped. It's a bunch of single serving bags of ready to eat Kettle Corn.
464,How to make a good rye bread in bread machine using this flour?,"Bread machine recipies work out fine, but I only use the slightly larger whole wheat yeast and no the regular yeasts.  Also have to be sure to balance the ph when using rye - hence the bit or orange peel and bit of apple cider vinegar."
465,how many candies total in 5 lbs?,It's been a while since I bought them but I'd say it was about 60 to 70 pieces per pound.
466,I can't seem to find an answer to the shelf life of gravy master,"Here's the answer from the web site.  Q. How long will Gravymaster stay fresh in my kitchen cabinet?A. Depending on climate conditions, Gravymaster will stay fresh for at least two years.  We recommend a new bottle at least once per year, however, to assure your enjoyment of our product."
467,Is this oil from China?,No its from Italy
468,Is there any other ingredient in this product besides beets? Such as a anti-caking ingredient?,"My bag only states ""Beet Root Powder Organic"" along with the latin name. It is from China however but I bought it for personal cosmetic use. Hope that helps."
469,What are the directions? How much loose tea per cups of hot water?,"I'd say about a tea spoon per cups, but don't forget! You don't need to throw your tea after every cups, a spoon could easily be used for 2/3 or 4 cups depending on how long your infuse it... it's all matter of taste."
470,Are they paleo friendly?,"If you call palm oil paleo friendly? I recall they had palm oil added! Tasty enough, though. I don't think paleo people used palm oil!  :/"
471,how do you store boba beans after you open them? how long does the open boba last?,I always keep mine in the refrigerator and have stored them for a month or so.  I think they taste better cold!
472,"It says a ""pack of 4"", does that mean 4 loaves of bread?",yes
473,Why does PETA say that this coffee is produced by enslaving wild animals in cages while the product description claims the civets are recued & free?,This company utilizes wild civets (not caged) proceed goes to funding their conservation and rescue of civets.  www.youtube.com/watch?v=iRTCwN-y0Cw&list;=UUgcJJYfdCVNVx9mmn0EGV5A#t=29
474,Is there supposed to be a slit around the ring? Mine looks like it's torn/open? Is that normal?,The seal ring is designed so vapor can exit the bag but not enter the bag.
475,The protein content for this product is extremely high by about a factor of 2.  Is  it is really black beans?  Is it black soy beans?,Thevpackage says organic black beans and water as the ingredients.  However another area of the package does say it is made in a plant that process soy product.    I think it is really black beans.
476,Has anyone actually contacted the company making this flour to see if its actually sprouted? I have been getting many different answers. Thanks!,"I contacted the company yesterday and talked to the owner.  It is not sprouted.  Also, the package gives no nutritional information, does anyone know the calories/content of nutrients of this flour."
477,can this be used for desserts? i want to make a frosting with this using only 1/4 cup,"Sounds yummy and healthy.  I would mix up a small portion, couple of Tbsp, with sweetener (powdered sugar?) and see how it goes in a test batch.  Have you ever tasted Halevah?  It's a candy made with sesame and honey into a bar, sometimes with cocoa powder added - very yummy.  Very high oil content to Tahini, runny at room temp and refrigerated.  Might want to try some cream cheese mixed in to thicken it and help hold in place.  Not sure what the 1/4 cup amount signifies, but I would think you might want to make a butter cream recipe and use Tahini in place of butter for the amount, or even use 1/2 butter, 1/2 Tahini.  Depends on how you like the flavor and if this is a flat frosting or is expected to stay on the sides of a cake.



    Sounds yummy and healthy. I would mix up a small portion, couple of Tbsp, with sweetener (powdered sugar?) and see how it goes in a test batch. Have you ever tasted Halevah? It's a candy made with sesame and honey into a bar, sometimes with cocoa powder added - very yummy. Very high oil content to Tahini, runny at room temp and refrigerated. Might want to try some cream cheese mixed in to thicken it and help hold in place. Not sure what the 1/4 cup amount signifies, but I would think you might want to make a butter cream recipe and use Tahini in place of butter for the amount, or even use...
      » 
Read More


   Sounds yummy and healthy.  I would mix up a small portion, couple of Tbsp, with sweetener (powdered sugar?) and see how it goes in a test batch.  Have you ever tasted Halevah?  It's a candy made with sesame and honey into a bar, sometimes with cocoa powder added - very yummy.  Very high oil content to Tahini, runny at room temp and refrigerated.  Might want to try some cream cheese mixed in to thicken it and help hold in place.  Not sure what the 1/4 cup amount signifies, but I would think you might want to make a butter cream recipe and use Tahini in place of butter for the amount, or even use 1/2 butter, 1/2 Tahini.  Depends on how you like the flavor and if this is a flat frosting or is expected to stay on the sides of a cake.
      « 

Show Less"
478,"Nowhere can I find where it states this product is ""gluten free"" so is this product gluten free or not?","I cannot speak directly for Bob's Red Mill, but I do know that I have used his Organic Buckwheat Flour for people who are gluten intolerant without any adverse effects.  Buckwheat in itself is gluten free, and the Bob's Red Mill Buckwheat package lists Whole Grain Organic Buckwheat as the only ingredient.  I would suggest contacting the company directly for a more definitive answer."
479,Is this a good substitution for Italian 00 flour? I'm looking to make spectacular pizza dough (and pasta)...,No. 00 is a white floure milled differently than our white flours. Semolina is a durum flour.Usually pasta dough uses equal weights of all purpose flour and semolina. I have tried mixing it for pizza but prefer using only white flour. Also cornmeal is used on the underside of pizza not semolina
480,Are Bob's Red Mill Organic Oats Whole Groats GLUTEN-FREE?,"Hello,  There is no reference on the label that indicate the product is gluten-free.  While I do not have 00% gluten-free diet, I try to limit my intake to minimal level.  So, before I purchased the product, I did research regarding the gluten-level in oat groats.  I felt the level was low enough for me to purchase it.  However, if you have to avoid gluten in your diet, then, you probably should not purchase it.  The label states ""Manufactured in a  facility that also uses tree nuts, soy, wheat and milk."
481,Did Costco stopped carrying this item? COuldn't find this anywhere in Costco...,Costco told me yesterday it was because distributor no longer would supply. Maybe they wanted more money then Costco was willing to add on to their customers. Good for you Costco if this was the reason. Wish you would let us know the reason you no longer supply this outstanding product.
482,How can this be natural when it contains propylene glycol?  Although its a natural compound and found in deicers & hand sanitizer!,"Propylene glycol is an organic compound. Flavors must be stored in some form of an alcoholic base. Many tinctures use just regular alcohol, this however creates a vile taste, completely defeating the purpose of putting it in anything. Thus, propylene glycol is used. You are correct, propylene glycol is used as a base for many scents and flavors, it's even used in hookah tobacco and electronic cigarettes. Propylene glycol, being an organic compound, is one of the healthiest and safest solvents there is. The flavorings sustained in the propylene glycol were extracted from natural sources, however if the bottle were to be pure flavoring, it would make it useless, because even a single drop of flavoring would be too intense in most cases. Just because they use something has many uses in human consumable products doesn't mean it's unsafe, quite the contrary actually.



    Propylene glycol is an organic compound. Flavors must be stored in some form of an alcoholic base. Many tinctures use just regular alcohol, this however creates a vile taste, completely defeating the purpose of putting it in anything. Thus, propylene glycol is used. You are correct, propylene glycol is used as a base for many scents and flavors, it's even used in hookah tobacco and electronic cigarettes. Propylene glycol, being an organic compound, is one of the healthiest and safest solvents there is. The flavorings sustained in the propylene glycol were extracted from natural sources,...
      » 
Read More


   Propylene glycol is an organic compound. Flavors must be stored in some form of an alcoholic base. Many tinctures use just regular alcohol, this however creates a vile taste, completely defeating the purpose of putting it in anything. Thus, propylene glycol is used. You are correct, propylene glycol is used as a base for many scents and flavors, it's even used in hookah tobacco and electronic cigarettes. Propylene glycol, being an organic compound, is one of the healthiest and safest solvents there is. The flavorings sustained in the propylene glycol were extracted from natural sources, however if the bottle were to be pure flavoring, it would make it useless, because even a single drop of flavoring would be too intense in most cases. Just because they use something has many uses in human consumable products doesn't mean it's unsafe, quite the contrary actually.
      « 

Show Less"
483,is the item durable?,Does not need to be refridgerated until opened.
484,how many bottles in 1 order?,48 2-fl. oz. bottles.
485,Is this made from corn?,"It is not made from corn.  I use it without any gastrointestinal problems.  It is a sugar alcohol and many plants have naturally occurring sugar alcohols. Pears, sake, watermelon, grapes and wine have naturally occurring erythritol in them.  Some other sugar alcohols have gastrointestinal side effects, but erythritol is not usually one of them.  If you are on a low carb diet, honey has carbs, and although natural and a good sweetner, it is still a sugar."
486,Why did you stop  making this.   I use it in making my chocolate eclairs cakes.  please bring back,I use this frequently in my chocolate pies and I was really disappointed that Nestle is not making it any more.  It is so convenient.
487,"Do you get just one package for $10.95? If so, they are way too expensive.","No one loves shopping at Amazon more than I do, but these tortillas can be purchased for 1/3rd this price at Netrition.  If Amazon got close on the price, I'd buy them here for the convenience of using my Prime account."
488,is it caffeine free,"Yes, it is caffeine free. It is also Certified Organic and Kosher."
489,Where is the product origin?,China
490,How much sodium per bowl?,"Too much (760mg), but they still taste good (I often drain the noodles after cooking to cut down my sodium intake)."
491,how many are in the package?,"Hi, Judith!   Amazon asked me to respond to your question, so here goes......I only buy the smaller package (1.55 oz or 40g) of the ENER-G product because the smaller amount comes in a far better shipping container.  You get 50-52 GF communion wafers in a trifold cardboard package that has always kept the wafers from arriving smashed.  Friends in larger churches who buy the bigger tub always complain that so many of the fragile wafers break in shipping.  Mine never have.   I package them up myself by inserting each one into a little zip-lock-type bead bag (available at any craft store in various sizes).  Then I take them over to the church in a Rubbermaid container so that the people who set up the altar each week can reach in and add a few GF wafers to the general population of wafers without contaminating the GF ones.   As the other gluten-free person in my tiny church and I go up for communion, the Pastor simply hands each of us one of the little bags, we pop ours open and are all set without any fuss.   So....expect to find 50-52 wafers in the little package, which is a better deal than buying the big one when you count in all of the smashed wafers the larger tub seems to allow.  Another thing, by the by, this vendor has a completely GF free facility......a big deal, if you are a celiac like me.   Some of the other vendors offering  supposedly GF wafers actually make them in facilities that also make regular wheat-laden wafers.   Yikes!   Best wishes!



    Hi, Judith! Amazon asked me to respond to your question, so here goes......I only buy the smaller package (1.55 oz or 40g) of the ENER-G product because the smaller amount comes in a far better shipping container. You get 50-52 GF communion wafers in a trifold cardboard package that has always kept the wafers from arriving smashed. Friends in larger churches who buy the bigger tub always complain that so many of the fragile wafers break in shipping. Mine never have. I package them up myself by inserting each one into a little zip-lock-type bead bag (available at any craft store in various...
      » 
Read More


   Hi, Judith!   Amazon asked me to respond to your question, so here goes......I only buy the smaller package (1.55 oz or 40g) of the ENER-G product because the smaller amount comes in a far better shipping container.  You get 50-52 GF communion wafers in a trifold cardboard package that has always kept the wafers from arriving smashed.  Friends in larger churches who buy the bigger tub always complain that so many of the fragile wafers break in shipping.  Mine never have.   I package them up myself by inserting each one into a little zip-lock-type bead bag (available at any craft store in various sizes).  Then I take them over to the church in a Rubbermaid container so that the people who set up the altar each week can reach in and add a few GF wafers to the general population of wafers without contaminating the GF ones.   As the other gluten-free person in my tiny church and I go up for communion, the Pastor simply hands each of us one of the little bags, we pop ours open and are all set without any fuss.   So....expect to find 50-52 wafers in the little package, which is a better deal than buying the big one when you count in all of the smashed wafers the larger tub seems to allow.  Another thing, by the by, this vendor has a completely GF free facility......a big deal, if you are a celiac like me.   Some of the other vendors offering  supposedly GF wafers actually make them in facilities that also make regular wheat-laden wafers.   Yikes!   Best wishes!
      « 

Show Less"
492,is this product gluten free?,Absolutely 100% Gluten free :)
493,"Several (6 to be exact)  recent reviews were one star for stale product, how can you assure you will be sending me totally fresh product ?","I am not the seller..... I am a buyer who reviewed the product. However, having had the product, I can tell you that these are NOT stale. They are RAW. Raw meaning not cooked. Not cooked meaning soft. The nuts you buy at a grocery store are roasted, which makes them crispier, harder, whatever word you'd like to use. These are RAW, as described in the product name and description.  But again, this is just a review, I am not the seller."
494,Is this tea tested for chromium levels?,"I recently had hair analysis done 3 weeks ago for toxic metals. My chromium level was normal. I have been taking tulsi now for close to a year. The hair analysis reflecks a 3 month level, so it should have registered if i was ingesting excessive amounts. I take a pot of tulsi daily."
495,"How does this compare to pearl barley in taste, texture and cooking time?","Taste: similar to pearl, but nuttier. Texture: remains slightly chewy even when fully cooked (and remains essentially whole in shape, unlike pearl which ""explodes"" in shape after cooking). Time: 50 minutes or more, depending on your preference (vs. 20 minutes or so for pearl)."
496,Can you explain the grade of beans ?  I have seen Grade A and Grade B.  Thanks !,"For most products, you would naturally prefer Grade A over Grade B - like meat or eggs, for instance.That's not the case with vanilla beans.  You should buy the proper grade for your use.  If you are going to cook with the beans, then opt for Grade A.  They have a moisture content around 30% and have plenty of caviar to scrape out.If you are going to make vanilla extract, use Grade B vanilla beans.  They are cured differently and have a moisture content of around 20%.  One misconception is when people use Grade A vanilla beans and then switch to Grade B they feel that the beans are dried out.  There is nothing wrong with them - they are drier by design.  Think grapes vs raisins.You can make vanilla extract with Grade A beans, but that does not mean that you will be making a better extract.Finally, there are beans known as splits.  Usually they split on the vine (sometimes during the curing process).  They are sought after by many commercial producers of vanilla extract because they have a higher vanillin content than whole extract grade vanilla beans.  They are not used beans.



    For most products, you would naturally prefer Grade A over Grade B - like meat or eggs, for instance.That's not the case with vanilla beans. You should buy the proper grade for your use. If you are going to cook with the beans, then opt for Grade A. They have a moisture content around 30% and have plenty of caviar to scrape out.If you are going to make vanilla extract, use Grade B vanilla beans. They are cured differently and have a moisture content of around 20%. One misconception is when people use Grade A vanilla beans and then switch to Grade B they feel that the...
      » 
Read More


   For most products, you would naturally prefer Grade A over Grade B - like meat or eggs, for instance.That's not the case with vanilla beans.  You should buy the proper grade for your use.  If you are going to cook with the beans, then opt for Grade A.  They have a moisture content around 30% and have plenty of caviar to scrape out.If you are going to make vanilla extract, use Grade B vanilla beans.  They are cured differently and have a moisture content of around 20%.  One misconception is when people use Grade A vanilla beans and then switch to Grade B they feel that the beans are dried out.  There is nothing wrong with them - they are drier by design.  Think grapes vs raisins.You can make vanilla extract with Grade A beans, but that does not mean that you will be making a better extract.Finally, there are beans known as splits.  Usually they split on the vine (sometimes during the curing process).  They are sought after by many commercial producers of vanilla extract because they have a higher vanillin content than whole extract grade vanilla beans.  They are not used beans.
      « 

Show Less"
497,If this has sugar in it; it is not just a reduction of pomegranates.  I don't like to be surprised with any added sugar.  Does this have sugar?,"Yes, there is sugar in it."
498,Is the Aretha pancake mix you sell for $19.45 a 3-pack of the 32oz box? The shipping weight says 2.2 lbs which only = 1 box so I'm confused.,"Jen - it is one box.  I think the 2.2 lbs refers to the rates for shipping.  The shipping charges are probably based on standard shipping for a package weighing 2.2 lbs or less.  But, it is one box and the pancakes are delicious!!!"
499,Soaking Is it necessary to soak these in order to eat them?,"It is not necessary, but it is a good idea, especially if you consume a lot of them. Almonds have phytic acid, a natural defense against being eaten which a lot of seeds and nuts, as well as some fruits and vegetables have, in them, which is an antinutrient, meaning it blocks the absorption of nutrients, and it actually depletes zinc. Soaking them helps to destroy some of the phytic acid so that you can get the full nutrition out of them and the other foods you eat."
500,Once they begin to get firm is there a quick way to soften them again?,I've never had a problem with them getting firm.  These are a little more solid than the Bassett brand but they're still pretty tender even after being in the TARDIS cookie jar for a few weeks.
501,"what would expiration date be?  1 year, 6 months, anyone know - there is no seller to ask.","The best by date is about a year from when I got mine, however if you keep it in the freezer it will last for a couple of years. You will have to let it come to room temp before you use it in recipes or you might have some abnormal results."
502,Are these candies individually wrapped in the one pound bags?,Yes they are individually wrapped.
503,is this decaf,"Hi Shannon, No, it is not decaf."
504,is this product kosher,"In the product description on the Amazon page, it says it's kosher."
505,What is this sweetened with?,"From the box, it says aspartame maltodextrin.I believe this is just like splenda."
506,"How much sodium is in this? you ask: 890 mg - or 37% of daily value based on 2,000 calorie diet",890mg per 1.5tsp
507,Need the actual sodium content per MG,"I just looked there is 5mg of sodium per tbsp.  I have to say that the flavor is very good, not your typical salt substitute taste.  It was kind of pricey with shipping, but I would buy it again."
508,Are the chips kosher?,"I believe so, they are delicious too"
509,Does this work with a Nespresso D-350 machine?,Don't waste your money in these. They didn't work at all.
510,Why did you change the formula? They're awful now.,"They were bought out by Nabisco who proceeded to ruin and cheapen the ingrediants. They at first tried under the Nabisco label and no one bought them so they went to the ""pretend"" box of Oval Farm  and still put the cheap crackers in them. I agree...;.they are aweful. Whole foods has a cracker that is a stoned wheat that you might like as a second best to the old stoned wheat thins. Nabisco needs to get their act together....I don't like even buying any Nabisco products lately because of the concern they probably are using cheap contents in other things as well :("
511,are you getting 20 bars?,Yes
512,"If Kirkland (Costco) stopped making the product in 2011, how old are these cans?","I do not know how old the can is, but my last one has ""Best by June 2017"" stamped on the bottom. I used one last week and it was fine."
513,"Will the San Francisco Bay Coffee OneCup for Keurig K-Cup Brewers, Rainforest Blend work in a Keurig Office B150?","I do not know that model of Keurig, but I can't imagine it wouldn't.  It has the same size top as a regular k cup, but the bottom is like a tea bag.  It fits into my Keurig, my daughter's, my son's and the one at work, and they are all differentKeurig models."
514,Will these work on the Starbuck's Verisimo machines??,"They worked fine the first couple of times, then each one started to collapse in the coffee maker and had to be put in the trash.  I drink 2 cups of coffee per day and in less than 2 weeks, they were all tossed."
515,what is the shelf life unopened,I have had some 3 months and it is still very good.
516,How much yeast is this??,5 grams
517,Odd question--what is the approximate volume? Want to know if it will fit into a 5.5qt container.,"Yes, it will fit."
518,Is this tea decaf?,"No, this tea has caffeine."
519,Where do they come from?,"They are from Italy, Spain, or Greece, as far as I know.  I am in Italy at the moment, and the Mediterranean pine nuts are definitely different from the China pine nuts, or Russian pine nuts or California pine nuts, or other pine nuts grown in the USA. These are softer, and have a buttery flavor, and different shape from other pine nuts.  Dr Fuhrman's pine nuts are just like the ones here in Italy.  I sincerely hope this helps you."
520,Nutritional content?,Has 70 cal tbl. Total fat 4.5 g. Total carbs is 9g
521,Does it say if the plastic jar is at least BPA free?,"NO, it does not say that"
522,what is the expiration date on these marshmallows?,I'm not  sure. I ordered them 10 days before my daughters wedding and they were all very soft so I know at least 10 days. :)
523,Are the cherries sweetened with high fructose corn syrup or with sugar?,Both corn syrup and high fructose corn syrup.
524,contain sugar?,No sugar added :)
525,Is the tea greenish or brown when brewed? I've read if it is brown then it is low quality and not giving the benefits it should.,"It's more of a gold with a greenish tinge.  I've had greenish green teas, too - but none that have tasted as good as Bigelow.  I hope this helps."
526,Are they from China?,"While I haven't purchased them yet, the writing and name on the package is Japanese, and the distribution company name is Japanese. So while they still ""MIGHT"" be from China, it's doubtful. The Chinese don't really make rolls like this, mostly Japanese and Koreans do. I lived over there a decade."
527,Do these fit the pixie machine?,I don't know as this purchase was a request for someone overseas. I do not have a Nespresso Machine. Too expensive for me.   I'm sorry I am no help.
528,"Where does the 77.5mg (per serving) of sodium come from, if the only listed ingredients are water and beans?","As far as I know, all food has sodium, especially veggies. Celery has a lot of sodium! Cook some Swiss chard and try eating it w/o anything added to it. Incredibly salty tasting, especially if you've been restricting your salt intake and are sensitive to the taste of salt!"
529,Would these be good for making peanut butter?,"Yes you can... if you roast them in your oven for 15 minutes, then let them cool slightly, you can either 1) put them in a ziplock bag and shake them to remove the skins 2) use a clean dish towel and rub them. the skins fall right off when they are roasted. They also make a better tasting peanut butter. As a side note they become a very smooth peanut butter as the oils in the nuts have been activated already so it doesn't take as long for them to blend, about 1/2 the time."
530,do you have a list of ingredients?,"Filtered water, organic soymilk, organic evaporated cane syrup, tricalcium phosphate, sea salt, vitamin A palmitate, vitamin D2."
531,"I have a bottle of aloe gloe white grape and it has a blob of something floating around in the bottle, is this suppose to be there?",Um I'm not sure. What color is this blob?
532,Also would these be good in smoothies?,Yes! They work well in just about anything you could think of!
533,is it in a glass or plastic bottle?,"Unfortunately, it is in a plastic bottle.  Wish it were in a dark glass bottle."
534,"I am giving the item as a Christmas gift - can I put the whole thing in the fridge or freezer, or do I need to open the package and remove items?",You can put the whole thing in
535,"Can I pour onto ice, then add a can of soda water, just to get a taste of cola, or do I need a Soda Stream type device? Nutritional Info?","You do not need a soda stream, soda water will work, that is how they make italian sodas is with just soda water and the syrup and this cola syrup is the best on the market as far as being like regular cola, don't want to mention brand names here but you know what I'm talking about. I hope this helps you."
536,Can this be used for coating baking pans? instead of Bakers Joy?,I use it on everything. Anywhere you would spray Pam or I guess Bakers Joy (never used it) you can and should use this. It is fabulous.. I spray it on the grill before putting burgers or steaks on and it works great.
537,How do you break the shell off?,I Pay an out of work squirrel minimum wage.
538,Anyone compare Reed's Orignial with Gin Gin's? Just curious. Thank you.,Personal opinion but the Gin Gin's are not as good as the Reed's Originals.
539,What is the nutritional information on this product?,There is no nutritional information on the bottle I have.  If you go to http://www.sunfood.com/catalog/product/gallery/id/1057/image/2616/ this will give you the nutritional info.
540,What is the serving size and how many mg of natural nitrates are in each serving?,I use a tablespoon a day in my smoothie is has immensely changed my blood test with better results!
541,ounces?,"Each individual packet will make one serving of tea. On average .10-.15oz per serving depending on how light or dense the tea mixture is. So if I had to give you an estimate, I would say that the entire kit is around 2.oz. total of loose tea."
542,I the Maple sleight a light roast or medium roast coffee?,"According to Brooklyn Bean Roastery's website, all their flavored coffees are light-roast.  see: http://www.brooklynbeans.com/bbr_roasts/flavored/"
543,Any diabetic needs the nutrition info before consuming- what is in these?,"1.4 oz per serving (11.4 servings in a pound) at 100 calories. There are 32g carbohydrates and 0g sugar.  DO NOT exceed this amount as it will have a laxative effect. Ingredients: Maltitol Syrup, Modified Food Starch, Sorbitol, Sucralose, Coconut Oil, Carnauba Wax, Natural Flavor, Caramel Color, Licorice Root Extract."
544,What size are the Sea Urchin Shells?,"The ones I received were about the size (circumference) of a golf ball, you may want to ask the seller though for sure."
545,what is its dimensions?,"12 & 1/3"" x 13"" x 3"""
546,Has the leaking issue been resolved?,There was no leaking for me when it arrived.
547,"What's the difference between these flavors as far as stronger bolder taste, flavor types etc.  JAVA / BREAKFAST BLEND / FRENCH ROAST?","French Roast: Boldest of the three, with a bit more acidity than I care for. It's a fairly standard French Roast, so neither as intense nor as bitter as Italian Roast or espresso. Needs 6 ounces or less of water brewed through it to hold its intensity of flavor, though. Java Love is your typical Colombian style coffee and Breakfast Blend is mainly an even weaker version of that mixed with another roast. Neither is strong enough to be called coffee, in my opinion, when using even 6 ounces of water brewed through a standard K-Cup brewer."
548,do these cups fit the keurig mini plus brewer?,Yes they do nicely.
549,is it a grinder,yes
550,Can you brew hot tea with it?,"Definitely, that is why I got it for."
551,is this product non-gmo? tn,I can't tell if it is or not from the label. You might try to write to the company at www.hoosierhillfarm.com to inquiry. Good Luck.
552,"If I placed an order now, what expiration date would there on this product?",I ordered about a month ago and mine expire in September of this year.
553,Is this the same as Clear Jel?,"Yes, another form of modified cornstarch."
554,"What is it a sadwhich spread, base or something similar to bullion.","Really kind of all of the above, but it's extremely salty (more so than Marmite, Vegemite, or Promite), so I'd go sparingly on toast or sandwiches.  It is essentially based on Bovril, a blend beef boullion and yeast extract, from the UK, which can't be sold here in the US due to BSE concerns.  This version, however, is thinner than Bovril.  I think they may have just snagged a food grade beef stock and thrown it into a small jar, labeled it and charged $10 for it.  Also, the nutritional label is clearly unrelated to the actual ingredients, because the only thing beyond ""zero"" is one gram of carbs and one gram of protein per serving.  No vitamin content (and real Bovril does contain fairly significant amounts of B vitamins), and it says zero sodium, which is WAY off.  This stuff is almost all sodium.  Mind you, I don't mind this Bovrite, it's rather tasty, but it isn't what they are marketing it as, which is the same formula as Bovril.  It's nice mixed with boiling water as a hot drink, and I just put the kettle on right now since you got me thinking about it.  I've also put it in soups and chili to give it a boost, since these extracts are glutamates, similar to MSG, and boost flavor.  But, I won't buy this again.  It's time for me to take a trip back to London anyway soon..



    Really kind of all of the above, but it's extremely salty (more so than Marmite, Vegemite, or Promite), so I'd go sparingly on toast or sandwiches. It is essentially based on Bovril, a blend beef boullion and yeast extract, from the UK, which can't be sold here in the US due to BSE concerns. This version, however, is thinner than Bovril. I think they may have just snagged a food grade beef stock and thrown it into a small jar, labeled it and charged $10 for it. Also, the nutritional label is clearly unrelated to the actual ingredients, because the only thing beyond ""zero"" is one...
      » 
Read More


   Really kind of all of the above, but it's extremely salty (more so than Marmite, Vegemite, or Promite), so I'd go sparingly on toast or sandwiches.  It is essentially based on Bovril, a blend beef boullion and yeast extract, from the UK, which can't be sold here in the US due to BSE concerns.  This version, however, is thinner than Bovril.  I think they may have just snagged a food grade beef stock and thrown it into a small jar, labeled it and charged $10 for it.  Also, the nutritional label is clearly unrelated to the actual ingredients, because the only thing beyond ""zero"" is one gram of carbs and one gram of protein per serving.  No vitamin content (and real Bovril does contain fairly significant amounts of B vitamins), and it says zero sodium, which is WAY off.  This stuff is almost all sodium.  Mind you, I don't mind this Bovrite, it's rather tasty, but it isn't what they are marketing it as, which is the same formula as Bovril.  It's nice mixed with boiling water as a hot drink, and I just put the kettle on right now since you got me thinking about it.  I've also put it in soups and chili to give it a boost, since these extracts are glutamates, similar to MSG, and boost flavor.  But, I won't buy this again.  It's time for me to take a trip back to London anyway soon..
      « 

Show Less"
555,will this grain sprout,"yes,I have grown wheat from whole grain,bermuda grass comes in both hulled and unhulled forms"
